sample_id,positive_prompt,negative_prompt
SYNTH_000052,"professional portrait photograph, high quality, photorealistic, adult woman, bright blue eyes, brown hair, very fair skin, narrow face, short face, high cheekbones, oval face, wide nose, wide nose bridge, high nose bridge, narrow nostrils, small eyes, round eyes, full lips, wide mouth, straight hair, thick hair, widow's peak hairline, large ears, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_000270,"professional portrait photograph, high quality, photorealistic, adult woman, bright blue eyes, brown hair, fair skin, wide face, square jawline, small nose, wide nose bridge, high nose bridge, wide nostrils, wide-set eyes, small eyes, almond-shaped eyes, high-arched eyebrows, full lips, wide mouth, deep philtrum, curly hair, fine hair, freckles, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_000601,"professional portrait photograph, high quality, photorealistic, adult man, bright blue eyes, black hair, very fair skin, wide face, long face, oval face, prominent chin, narrow nose, narrow nose bridge, round eyes, thick eyebrows, full lips, wide mouth, wavy hair, fine hair, straight hairline, light freckles, free earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_001977,"professional portrait photograph, high quality, photorealistic, adult woman, bright blue eyes, blonde hair, fair skin, wide face, long face, high cheekbones, oval face, receding chin, narrow nose, wide nose bridge, wide-set eyes, almond-shaped eyes, thick eyebrows, full lips, wide mouth, deep philtrum, wavy hair, thick hair, freckles, large ears, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_002246,"professional portrait photograph, high quality, photorealistic, adult man, green eyes, brown hair, fair skin, square jawline, prominent chin, prominent nose, wide nose bridge, wide nostrils, almond-shaped eyes, thick eyebrows, high-arched eyebrows, full lips, wide mouth, curly hair, light freckles, large ears, free earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_002441,"professional portrait photograph, high quality, photorealistic, adult man, green eyes, brown hair, very fair skin, narrow face, short face, square jawline, prominent nose, wide nose, wide nose bridge, wide nostrils, wide-set eyes, large eyes, almond-shaped eyes, high-arched eyebrows, full lips, wavy hair, light freckles, free earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_002551,"professional portrait photograph, high quality, photorealistic, adult woman, bright blue eyes, brown hair, very fair skin, wide face, short face, oval face, prominent nose, narrow nose, wide nose bridge, wide nostrils, wide-set eyes, small eyes, round eyes, full lips, wavy hair, sun-sensitive skin, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_002967,"professional portrait photograph, high quality, photorealistic, adult man, bright blue eyes, brown hair, very fair skin, wide face, long face, high cheekbones, square jawline, receding chin, prominent nose, wide nose, wide nose bridge, almond-shaped eyes, thick eyebrows, full lips, wide mouth, deep philtrum, curly hair, fine hair, freckles, large ears, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_003286,"professional portrait photograph, high quality, photorealistic, adult man, green eyes, brown hair, very fair skin, wide face, short face, square jawline, receding chin, small nose, wide nose bridge, high nose bridge, narrow nostrils, close-set eyes, large eyes, almond-shaped eyes, thick eyebrows, full lips, wide mouth, shallow philtrum, wavy hair, straight hairline, light freckles, sun-sensitive skin, large ears, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_003880,"professional portrait photograph, high quality, photorealistic, adult man, bright blue eyes, brown hair, fair skin, long face, high cheekbones, square jawline, wide nose, flat nose bridge, wide nostrils, hooded eyes, thick eyebrows, full lips, wide mouth, deep philtrum, wavy hair, thick hair, freckles, large ears, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
